+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|io_rtc_dffr                                                                                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_aon_porrst                                                                                                                     ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|dwakeup_deglitch                                                                                                                 ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|bootrom_deglitch                                                                                                                 ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|jtagpwd_deglitch                                                                                                                 ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|ResetCatchAndSync_1_1|reset_n_catch_reg|reg_2                                                                                    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|ResetCatchAndSync_1_1|reset_n_catch_reg|reg_1                                                                                    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|ResetCatchAndSync_1_1|reset_n_catch_reg|reg_0                                                                                    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|ResetCatchAndSync_1_1|reset_n_catch_reg                                                                                          ; 6     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|ResetCatchAndSync_1_1                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|aonrst_catch|reset_n_catch_reg|reg_2                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|aonrst_catch|reset_n_catch_reg|reg_1                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|aonrst_catch|reset_n_catch_reg|reg_0                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|aonrst_catch|reset_n_catch_reg                                                                                                   ; 6     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|aonrst_catch                                                                                                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|u_queue_1                                                                                                             ; 61    ; 1              ; 0            ; 1              ; 60     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_6_1|reg_0                                                                                       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_6_1                                                                                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_5_1|reg_0                                                                                       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_5_1                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_4_1|reg_0                                                                                       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_e203_subsys_top|u_sirv_aon_top|u_sirv_aon_wrapper|u_sirv_aon|wdog|AsyncResetRegVec_4_1                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
